Headlines,Labels
sbi to consider issuance of long term bond of rs 5000 crore,1
your stocks: top chart pick by market experts,1
"buy sbi, rural electrification corp: sudarshan sukhani",1
"manghnani's view on sbi, l&t",1
"short sbi, say aditya agarwal",1
hdfc bank cut lend rate by 0.15%,1
"sbi, allahabad bank, yes bank may rise 5-10%: sp tulsian",1
icici bank announce cut in home loan rat,1
sbi may look at ipo of general insurance business next fiscal,1
sbi a top pick: religare capital,1
buy state bank of india; target of rs 360: motilal oswal,0
public sector bank encourage home loan balance transfer,1
buy sbi 2100 november put: iifl,1
kingfisher allot 5.7% stake to sbi,1
aadhaar very convenient for open bank account : sbi chief rajnish kumar,1
"prefer psu bank stocks, say dilip bhat",1
jp associate deal to boost ultratech capacity: angel broking,1
private bank to post 23% pat growth in q4fy13: angel,1
"sbi may test rs 2100, say ambareesh baliga",1
new rbi capital norms may push up car by 1%: sbi cfo,1
sbi revise interest rat of retail term deposit,1
"sbi look attractive at current level, say dilip bhat",1
"go long on psu banks, real estate stocks: tulsian",1
"add state bank of india, target of rs 1777: iifl",0
hold sbi: salil sharma,1
sbi life eye 30-35% growth over next 3 years,1
check out: stock you can bet on august 13,0
"avoid metal, real estate space: dipan mehta",1
"invest in sbi, say sudarshan sukhani",1
"liquidity, rupee and bad loan in focus as rbi sit down for monetary policy meet",1
rbi slap rs 40 lakh fine on state bank of india for breach of norms on counterfeit note,0
buy state bank of india: thacker,0
"buy sbi, tata motors, coal india: sandeep wagle",1
will use 'click & brick' model for payments bank: mahindra,0
buy sbi on dips: hemant thukral,1
sbi halve daily atm withdrawal to rs 20k for certain card holders from october 31,0
"short sbi, say prakash diwan",1
sbi up on deposit rate cut; morgan stanley unimpressed,0
"buy tata motors, sbi with long term: sukhani",0
"sbi q2 result on november 09, 2012",1
"fmcg stocks, indiabulls house can head higher: sukhani",0
sbi can go upto rs 2775-2800: gujral,1
don't see much impact of bank bill on us: sbi,1
volatility need to decrease for the rally to continue: sanctum wealth,1
buy bank stocks: dhawan,0
"morgan stanley cut target on sbi, wary of loan; stock fall 2%",1
aim to come out with ipo in fy20: sbi general ceo pushan mahapatra,1
see more downside in sbi: anil manghnani,0
"new sbi chairman rajnish kumar pen letter to employees, say npa resolution, digitisation top priorities",0
state bank of mysore post rs 472 cr loss in q1 on bad loan,1
private bank to post healthy earn growth in q3fy13,1
vijay mallya saga: how things go awry for ubhl,1
axis bank cut base rate by 0.20% to 9.95%,0
your stocks: investment ideas by market experts,1
"icici, hdfc bank cut bulk deposit rat by up to 0.25%",1
sbi: outcome of meet of the committee of directors,1
6 stock that should do well on march 12,1
lenders will do everything possible to recover kfa dues:sbi,1
sbi declare 150% interim dividend,0
"buy kotak bank, karnataka bank, obc, ptc india: mitesh thacker",1
wait till earn before invest into psbs: sp tulsian,0
buy state bank of india: icici securities,1
see car improve to 11.1%; base rate cut in q1fy16: sbi,1
sbi general insurance h1 net profit up 64%,1
buy bank stock on decline: choksey,1
"state bank of india's q3 result on feb 10, 2017",1
"sbi top pick, target rs 3200: gautam trivedi",0
"bank of india post net loss of rs 1,156.2 crore in q2; npa ratios improve",1
eds of nationalise bank eligible to become md of sbi: finmin,1
"more upside see in gvk power, say sukhani",0
"we be reform hr, will present blueprint for next 36 months: sbi's rajnish kumar",1
sbi to raise up to $2 bn via overseas bond,1
hdfc bank hike interest on fds; loan could get costlier,1
"don't see major impact from exposure to mfis, 2g: sbi",1
sbi have target of rs 1820: sukhani,1
"rbi leave key rate unchanged, shift focus to growth",1
"buy sbi, target rs 258: sameet chavan",0
sbi q2 pat may dip 13% at rs 3182.3cr: icicidirect,0
"sbi eye higher profit in fy12, plan expansion abroad",1
provision coverage ratio to rise post rbi regulation: bob,1
anish damania negative on bank space,0
"private sector bank top pick, avoid psu banks: dipan mehta",1
"macro parameters improving, economy gain confidence: sbi",1
"buy bajaj auto, state bank of india: daljeet singh kohli",1
"cnbc-tv18 exclusive: satya nadella on trump policies, how tech will change governance",1
kumar sharadindu be new md & ceo of sbi pension fund,1
sbi may slip to rs 1500: pritesh mehta,1
sbi cut term deposit rat across various tenures: md,1
"buy state bank of india, say sameet chavan",1
"buy sbi, say sudarshan sukhani",0
buy sbi; target of rs 2600: dani investment service,1
dena bank cut lend rate by 0.75%,1
"avoid bank space, say gopi suvanam",0
buy state bank of india; target of rs 398: hdfc securities,1
monnet ispat to undergo sdr; board to meet on nov 2,0
sbi: board declare interim dividend,0
sbi have target of rs 1990: lkp,0
sbi receive board approval to divest 4.40% stake in ccil,0
"keep sbi in portfolio with 2 years view, say phani sekhar",1
sbi can touch rs 2775 in short run: gujral,1
"buy state bank of india, target rs 310: arpan shah",0
realty subsidiary to begin operations early next year: sbi,0
boi cut fd rat by 0.25% on select maturities,0
stay invest in sbi: mayuresh joshi,0
"big deal: sbi raise rs 15,000 crore via qip",0
essar oil tie up fund to repay tax dues,0
"kfa fail to assure banks, next meet by oct end",1
ub rise 5% after mallya move court against lenders,0
go long in sbi: chandan taparia,1
buy sbi at around rs 280: kunal bothra,0
"exit sbi, vedanta: meghana malkan",1
"sell psu bank on rally, except sbi: sudarshan sukhani",1
here be some investment ideas from sp tulsian,1
"technical view | top buy & sell ideas by ashwani gujral, sudarshan sukhani, mitessh thakkar for short term",0
"tata top the 100 most valuable indian brand chart, lic and infosys follow: report",0
three pe firm to invest in gmr airport: report,0
sbi cut fix deposit rat by up to 1%,0
"suresh mahadevan positive on muthoot fin, manappuram fin",1
"look at sbi, syndicate bank: hemindra hazari",1
"sbi, icici bank, uco bank good bet in bank space: bhat",0
watch: sbi economic conclave,1
kingfisher ground 15 planes; bank work with airline,0
"buy sbi 185 call, jsw steel may hit rs 1230: chandan taparia",0
sbi's right issue likely early-next fiscal: bhatt,0
"sbi may give 25% return, say sukhani",1
"buy sbi, advise sudarshan sukhani",1
hold sbi; target of rs 3420: krchoksey,1
"buy ashok leyland on dips, avoid sbi: sudarshan sukhani",0
go long in sbi between rs 1800-1850: bhamre,1
expect more deal with indian company this year: microsoft,1
shyamal acharya back at sbi as management audit head,1
state bank of india look to woo japanese business,1
super six intraday pick for the day,0
go long in jet airways: mithil pradhan,1
"accumulate hdfc bank, say manish shah",1
"overweight on banks, fmcg space: dipan mehta",0
bank to remain stress next year too: fitch,1
icici bank can head towards rs 1770-1780: hemant thukral,1
enter tata steel at around rs 310-315: rajesh agarwal,1
sbi revise interest rat of nre/nro term deposit,0
decision on harshad mehta scam fund on friday: govt source,1
"tcs, hdfc name india's best manage company",0
new banks: rbi zero on 5 for panel to screen applications,1
accumulate sbi; target of rs 2500: plilladher,1
"cite weak market, bank delay qip plan",1
"sbi eye tier-i bond issue again, hop to raise over rs 3000 cr",1
videocon telecom lenders invite bid under insolvency law,0
"buy state bank of india, just dial, apollo tyres: ashwani gujral",1
hope to keep net interest margins over 3.2%: sbi,0
sbi life may offer 10% stake in ipo,0
sbi have support at around rs 2030: bhamre,1
will discuss list at our next board meet in a couple of weeks: leo puri,1
sbi board to meet this week to consider fundraise,0
"buy icici bank, sbi: sudarshan sukhani",1
"sbi q1 nii up 45.31% to rs 7,303.6 cr",0
exim bank co-promotes project development firm in africa,0
avoid bank stocks: thacker,1
bull's eye: 12 intraday ideas to make smart gain,1
sbi unveil cheaper home loan for 7th pay panel awardees,1
top 10 stock which be likely to benefit the most if rbi cut rat,0
buy state bank of india; target of rs 338: motilal oswal,1
kapadia`s view on state bank of india,1
"buy sbi 300 strike put, 305 call: krish subramanyam",1
can fin homes' rs 276 cr right issue to open on feb 13,1
sbi may buy stake in tata motor unit,1
sbi chief say merger with associate may lead to small rise in cost,0
bnp cardif to cut stake in sbi life insurance,1
budget 2012: what bankers want!,1
sbi's associate bank employees on one-day strike,1
sbi to revise export transactions relate service charge from september 1,1
"stay with banks, look at ambuja cements: jai bala",0
prefer bank stock with 1-2 years view: sukhani,0
"after up waiver, farmers in other state stop pay off loan",0
"hdfc bank raise close to rs 10,000 cr via qip, adrs",1
sbi may slip to rs 1500 mark: rahul mohindar,1
bank sector woes to continue in q1; bigger bank to perform better,1
"remain invest in sbi, say ashu madan",1
buy sbi; target of rs 2637: angel broking,0
"accumulate icici bank, sbi, bob on every dip: parag thakkar",0
demonetisation: will bank be offer cheaper loans? think again,1
why be sbi go easy on kingfisher?,1
'we're hiring': psbs look outside for specialist-roles talent,1
"sell psu banks, telecom stocks: ambareesh baliga",1
"sbi put rs 230-crore npas up to sale, star at haircuts up to 79%",0
"below rs 280, icici bank may dip by 5-8%: gaurav bissa",1
have communicate our claim to pnb with regard to nirav modi fraud: sbi,1
big leap: reward entrepreneurship,1
sbi sign $300 mn loan agreement with kfw for rural lend,1
"buy opportunity see in sbi, say sukhani",0
state bank of india sept qtr pat see at rs 2968.1 cr: most,1
sbi: outcome of general meet,0
"sbi take first cue from rbi govenor, lower lend rat by 5 bps",0
sbi declare dividend at rs 30 per share,1
"buy bank at lower levels, say baliga",1
"credit growth be likely to moderate, say sbi",0
sbi profitability to face linger pressure: moody's,0
fm-bankers meet: uday kotak suggest list of lic,1
sbi launch qip,1
"ease pca, one-day default norms, psb head tell rbi guv shaktikanta das",1
npas may come down below 3% after 2-3 qtrs: sbi,0
bank sector: what be the outlook?,1
"oil & gas, bank stock to outperform: sanjay dutt",1
sbi to take decision on raise fund from qip in a month,0
"kfa workers threaten to disrupt ipl, demand mallya's trial",0
prefer bank of baroda: siddharth teli,1
sbi's base rate likely to be 8% or less,0
state bank of india revise deposit rat by up to 50 bps,1
"exit sbi, pick hdfc bank: rajat bose",1
uco bank cut base rate by 25 bps to 9.70%,1
"psu bank can give 20-25% return, say ambareesh baliga",0
"axis bank, yes bank top picks: mayuresh joshi",1
"podcast | stock pick of the day: hold nifty long with a stop loss below 10,700",1
rise npas in msme sector in west bengal worrisome: sbi,0
sameet chavan negative on sbi,0
australia's iag to up stake in sbi gen ins from 26% to 49%,0
bull's eye: stock to buy today,0
govt approve bill to lower govt stake in sbi,0
"add state bank of india, target of rs 1394: iifl",1
pay hike to boost retail loan growth by 17-20%: sbi,1
narayana murthy's catamaran invest in payment co innoviti,1
"buy sbi, sterlite industries at lower levels: sp tulsian",1
"buy sbi, hdfc bank: sudarshan sukhani",1
"look at icici bank, hdfc, sbi: ajay bodke",1
"recapitalization, bank board 'heartening moves': sbi chief",1
sbi: update on jv agreement,0
what to expect from state bank of india in q1,1
sbi may rally upto rs 2100: vora,0
book some profit in sbi above rs 190: vijay chopra,1
exit idbi bank; enter sbi: sudarshan sukhani,1
atanu sen take charge as md and ceo of sbi life,1
"sbi cap focus on equity issues, m&a in 2010",1
"exit sbi on rallies, say kunal saraogi",0
"ashwani gujral positive on sbi, pnb, bob",1
sbt-sbi merger: hc issue notice to finance ministry,1
bofa-ml see lend rat fall by 50 bps more by march,0
"prefer sbi, pnb, uco bank: dilip bhat",1
"sbi exclusif to raise customer base to 35,000 by year-end",1
"budget 2016: positive on ultratech, target rs 3500 in 6-9 months: diwan",1
sbi have support at rs 2170-2200: bhamre,1
frontline bank stks may see further downside: srivastava,0
"like sbi, bank of baroda: nischal maheshwari",1
bhushan steel remain a 'standard asset': unite bank,1
avoid public sector bank space: sandeep bhatia,1
"infosys good trade pick, sell state bank of india: ab money",1
eight indians in fortune list of powerful a-pac women,0
buy sbi; target of rs 2073: krchoksey,0
"buy sun pharma, sbi: kunal bothra",0
"mahila e-haat tie up with india post, sbi",1
"buy sbi on declines, say sandeep wagle",0
"go long on infosys, sbi: sudarshan sukhani",0
"buy state bank of india, say sudarshan sukhani",1
tatas' investment arm pick up bank stock,0
"sbi likely to report loss in q4fy18 on rise in provisions, npas",1
have good case against kingfisher as wilful defaulter: ubi,1
sbi have strong support at rs 2000: sukhani,1
"short idea, glenmark; buy colgate: prakash gaba",0
sbi mull merge one of its associate bank this year,1
ind-swift labs board approve debt restructure programme,1
"buy, sell, hold: 19 stock that analysts be watch out today",1
digital transactions in bank sector go up: sbi,0
prefer sbi from public sector bank space: sharekhan,1
"sbi, pnb, idfc bank, paytm also to issue e-toll tag now: nhai",1
buy sbi on dips: baliga,0
"sbi to its employees €” no belch during meetings, it€™s €˜highly irritating€™",1
rajendra kumar saraf name sbi deputy md & cfo,1
"bullish on sbi, maruti, ultratech, hindalco, tcs: sanjiv bhasin",1
sbi q4 pat see up at rs 1993.9 cr: religare,0
sbi chief say may raise rat in couple of months,1
accumulate state bank of india at rs 2700-2750: dhawan,1
buy sbi; target of rs 302: kr choksey,0
sbi to remain between rs 1600-1900: kunal bothra,1
unite bank declare vijay mallya as wilful defaulter,1
"axis bank, sbi top pick in bank space: prime broking",0
sbi can touch rs 3250-3300: pandey,1
"stock in the news: tcs, interglobe, nlc india, bhel, manpasand beverages, autoline",1
"buy acc, state bank of india, axis bank: sudarshan sukhani",0
super six intraday pick for the day,0
buy state bank of india; target of rs 380: motilal oswal,1
geithner say india innovations add bank customers,1
"madan`s view on icici bank, axis bank",1
"bad loan to rise till sept, downgrade over: india rat",1
score zero in data analysis? you can still have a career in bank,0
reason to cheer: bank home loan set to become cheaper,0
"go long in yes bank, sell tcs: prakash gaba",1
sbi chairman for abolition of crr,1
super six: top chart pick for today,0
"hold sbi, say hemen kapadia",1
sbi have strong support at rs 2530-2570: sharma,1
sbi can test rs 3100: manish shah,1
bank sell only 20% of bad loan assets to arc as they bet on better value from insolvency court,0
pace of npa formation be begin to slow: morgan stanley,0
sbi slash home loan rat by up to 0.4%,1
icici bank look weak: atul badkar,1
short axis bank 460 call; havells may hit rs 350: amit gupta,1
buy sbi with target of rs 2800: rajesh jain,0
limit space for further cut in lend rate: sbi chairman,1
"buy sbi, icici bank: sudarshan sukhani",1
buy state bank of india; target of rs 390: sharekhan,1
"suresh mahadevan positive on sbi, pnb",0
"govt, india inc discuss jobs, china situation: sbi chief",1
jindal brothers sign $976 million power deal,0
"tata motors, sbi may slip: baliga",1
advance tax collection in q1 up 5% at rs 33089cr,0
"stay invest in sbi, pnb: pankaj jain",0
npa woes: why bank be not sell bad loan,1
sbi life to appeal against irda's rs 275cr refund order,0
moody's cut state bank of india's debt rat to 'baa3',0
interest rat to soften by year end: bob,1
"buy icici bank, advise sudarshan sukhani",0
"buy state bank of india, petronet lng, hindalco industries: chandan taparia",0
buy sbi; target of rs 2925: motilal oswal,1
flexi loan price to ease infra finance stress: bankers,1
"sbi plan to raise up to rs 20,000 cr to fund growth",1
"buy sbi, voltas, indiabulls housing, hindustan unilever; sell unite spirits, unite breweries holdings: sudarshan sukhani",1
"short bpcl, syndicate bank; buy tech mahindra: sudarshan sukhani",1
here be top 10 stock to focus on december 23,0
central govt nominate gurdial singh sandhu on sbi board,0
expect 100 bps crr cut at rbi policy on sept 17: sbi chmn,1
u-turn on payments bks: sbi head see 'opportunity' for all,1
pn vijay confident on psu bank,0
"edelweiss arc eye stake sale, to raise around rs 2,000 cr",0
"bank of india seek govt nod to raise rs 4,500 cr",1
accumulate bank stocks: dhawan,0
"morgan stanley downgrade sbi, pnb on margin pressure",1
irani`s view on sbi,1
psu banks' npa marginally up to 2.31% in fy11,0
sbi may slide down to rs 424: prakash gaba,1
buy state bank of india: sudip bandhopadhyay,1
ecl finance invoke 7.05 lakh pledge ubl share,0
vikas khemani positive on private sector bank,0
buy sbi; target of rs 2486: angel broking,0
need to whittle down thrust on consortium lending: sbi chief rajnish kumar,1
bank credit grow 14.65% y-o-y in fortnight end may 17,1
bandyopadhyay`s view on bank sector,0
d-street's focus be on growth; 12 stock to buy ahead of election outcome,0
"how to trade ril, sbi, hdfc bank, tcs in volatile market",0
quality of psu bank board must improve: sbi's bhattacharya,1
sbi have target of rs 2260-2300: angel broking,0
dalal`s view on bank,0
sp tulsian bullish on power space,1
"buy motherson sumi, like tcs, hdfc may climb to rs 1140: gaba",1
avoid midcap space: siddharth bhamre,1
adani to press ahead with australia coal plan,1
"exit sbi around rs 2220-2250, say bothra",1
here be top 10 stock to focus on december 16,0
sbi see early sign of loan growth revival,1
accumulate sbi; target of rs 194: reliance securities,1
"sbi to raise rs 3,000 crore by march this year",1
sbi pay rs 1795 cr oct-dec advance tax,1
sbi's propose debt less likely to default at bbb- by fitch,1
"accumulate icici bank, sbi on dip: kulkarni",0
"bull's eye: buy dcw, century, madras cements, short sbi",1
"sbi may test rs 1630- 1640 levels, say manghnani",1
fm to meet sbi board on august 6,0
bull's eye: 12 trade bet for the day,0
"state bank of india q4 net profit may dip 7.7% qoq to rs. 3,649.8 cr: motilal oswal",1
"axis bank, icici bank, sbi look attractive: sukhani",0
"exclusive | jnpt could pay rs 5,000 crore for air india build",1
sudarshan sukhani bullish on reliance industries,1
your stocks: what to buy/sell/hold in volatile market,1
"sbi, macquarie to invest in road developer",1
foresee loan book growth to rs 5000cr in fy12: future cap,1
rs 200 note could be available in atms by september-end,0
sbi cut interest rate on car loan for women borrowers,1
sbi retail bond issue leave retail investors in cheerful mood,0
"buy sbi, itc, britannia industries; sell wockhardt: ashwani gujral",1
"bad loan recoveries 'good' so far in q2, say sbi",0
citi to offer swift's service to indian firm,1
"buy state bank of india, say sudarshan sukhani",1
not give fresh loan to kingfisher: sbi,1
"prefer icici bank, sbi, pnb: tushar mahajan",1
sbi cut benchmark lend rate by 0.05% across maturities,1
"invest in icici bank, infosys, sbi, ril, hul: sukhani",1
arcil net profit jump 7-fold to rs 67 crore in 2014-15,0
psbs may restructure loan give to auto component makers,1
positive on lic house finance: sp tulsian,1
liquidity position across bank be at comfortable level: experts,1
"prefer ril, sbi, l&t on dips: ambareesh baliga",0
sell tata motor jan 290 put: amit trivedi,1
"buy state bank of india; sell asian paints, biocon: gujral",1
"buy sbi, target of rs 2300: shardul kulkarni",1
deposit rate cut step towards softer interest rate era: sbi,1
sbi raise prime lend rate,0
union bank keen to join payments bank bandwagon,0
"sell sbi, pnb, sesa goa: sukhani",1
pezarkar`s view on bank,0
super six stock you can bet on march 12,1
sbi q1 net profit see up 5.13% at rs 2449.94 cr,0
will revise rat when needed; comfortable with car: sbi,0
"ntpc scale down 2017 power generation target to 70,000 mw",1
"john mcafee blame bank in india for fall in cryptocurrencies, suggest not to panic",0
pnb swindle: sbi hop to get its dues back,1
bsnl to launch 1000 wifi hotspots to address 4g challenge,1
modi's leadership assure 'acche din' for these 8 psus,1
sbi have support at rs 1950: lkp,1
sbi to sell stake in uti to t rowe price,1
sbi chief moot dedicate spectrum for financial transactions,1
no enough ground to justify crr: sbi chief,1
"sbi to raise rs 15,000 crore through public issue",1
sbi life set to enter bahrain in next financial year,0
"buy, sell, hold: 14 stock that you can focus today",1
prefer sbi from the psu bank space: hemant thukral,1
bourses seek clarification over debit card data breach,1
buy sbi; target of rs 3250: religare capital,1
sbi eccb meet on 03 24 2017,1
fresh accretion of npas have come down: sbi,0
bank see new bad debt rule as step in right direction,1
sbi may down another rs 20-25 from current levels: mohindar,1
buy sbi; target of rs 1750: firstcall research,1
"psu bank short sell idea, ubl may head lower: sukhani",1
buy frontline stock with long term perspective: bhat,1
sbi mar qtr pat see up at rs 2843.4 cr: unicon investment,1
"expect sbi to move to rs 340, stop loss at rs 268: most",1
here be some stock ideas from sp tulsian,1
gupta`s view on bank space,1
"buy bharat forge, bel, state bank of india, jsw steel: thacker",1
"buy tata motors, sbi, kotak mahindra bank: ashwani gujral",0
"buy sbi, pnb, bob: sukhani",0
"axis, union bank among 5 new entrants to uk bank space",0
govt bailout for psu bank at max npa level to be $1.7 bn,1
sbi card's valuation begin as partner ge cap plan exit,1
rbi to meet lic on sept 28 to discuss il&fs rescue plan,1
dhananjay sinha overweight on private sector bank,1
"sell sbi, pidilite, dr reddy's; buy tcs, divis labs: sukhani",1
"dlf repay loan of about rs 1,000 cr",0
"earn preview: what to expect from sbi, icici bank?",1
"state bank of india to consider december quarter result on february 9, 2018",0
ril regain lose glory; pip cil as most-valued firm,1
icici bank may slip 5- 8% further: paul,0
"buy hdfc, colgate, state bank of india: sudarshan sukhani",1
buy state bank of india; target of rs 414: edelweiss,1
"buy sbi, infosys, bharti airtel: sukhani",0
sbi may come down by rs 100-150: dilip bhat,0
psu bank recapitalisation: govt to issue bond of 6 maturities,0
prefer bank stock post correction: harendra kumar,0
sukhani's view on reliance industries,1
"buy ultratech, ambuja, icici bank, sbi, karnataka bank: thacker",1
india may provide up to $1 bn loan for adani oz coal mine,1
"prefer sbi, bank of baroda: mayuresh joshi",1
buy state bank of india: krchoksey,0
"sbi may move to rs 265, say shubham agarwal",1
"buy icici bank, sbi; neutral on idbi bank: vaibhav agrawal",0
"lending, deposit rate hike in-line with market: hdfc bank",0
buy sbi; target of rs 2880: aditya birla money,1
"buy state bank of india, sun tv, say sukhani",1
few more qrtrs for npls to peak; slippage may stay at 2.59%; sbi,1
"bank to soon chart out resolution plan for rs 70,000 cr power sector loan",0
"expect better q2, cv loan demand to pick up in q4: indusind",1
"sudarshan sukhani upbeat on bank, it stock",1
"buy sbi, see further upside in icici bank: siddharth bhamre",1
buy state bank of india; target of rs 320: axis direct,1
"30% of restructure loan to become npas: ex-chairman, obc",1
buy sbi with long term: sekhar,1
sbi may break into world's top 50 bank list post merger: cfo,1
"bankers' panel suggest 5-pronged strategy to tackle npas, no proposal to create a bad bank",0
"buy sbi, icici bank, whirlpool: ashwani gujral",1
"lenders reject bid by numetal, arcelormittal for essar steel",1
"go long on sbi, say siddharth bhamre",1
"see break down in sbi, icici bank: jai bala",1
"sbi q1 preview: loss expect on high provisions, but npas may decline",1
buy sbi on dips: sharmila joshi,1
"avoid sbi, say rajesh jain",1
"look at sbi, bank of baroda, pnb: ambareesh baliga",1
sbi can touch rs 2280: vayalar,0
look at bank stocks: sudarshan sukhani,0
sbi to remain in rs 3160-3040 range: thacker,1
sbi file insolvency plea against jet airways at nclt; airline may get renew interest,0
"sbi halve process fee on home, auto loan",1
your magnetic-strip card will get block tomorrow: here's what you should do,1
"buy sbi, target of rs 2120: firstcall research",1
"buy state bank of india, target rs 265: gaurav bissa",0
"murlidharan upbeat on sbi, axis bank, icici bank",1
sbi may not cut base rate in near-term: pratip chaudhuri,1
sbi open first outlet for gold loan in north india,1
merger of associate on track despite demonetisation: sbi md,1
go long on sbi; target rs 2100: kunal bothra,1
"hold state bank of india, say rajesh jain",1
"sell sbi, pnb; buy escorts: ashwani gujral",0
"less than 25% of book be link to base rate, say sbi",1
"sell jindal steel & power, bpcl; buy dewan house finance corporation: ashwani gujral",0
bank not expect to write down air india loans: official,1
sbi to sell up to 4% stake in general insurance arm,1
videocon-icici bank loan controversy: i-t department send notice to nupower renewables over round-trip of fund,1
"buy sbi, pnb, canara bank: sudarshan sukhani",1
sbi may slip to rs 2000-2100: emkay,0
"be cautious in bank space, say shardul kulkarni",0
il&fs arm open office in london,1
"after sbi, pnb likely to revise deposit rat in 15 days",1
sbi-led consortium eye venues to recover kfa debt,0
no impact on margin due to base rate: sbi,1
"sbi can move to rs 2085, say anu jain",1
will take a call on base rate cut post rbi meet: sbi,1
sbi likely to underperform nifty bank over 2-mth: morgan stanley,0
security breach at atm maker compromise 3.2 million debit card,1
big deal tell you what keep deal street abuzz!,1
"buy sbi, say shahina mukadam",1
"hold sbi, may move to rs 345: shahina mukadam",1
sbi an underperformer: karvy,0
sell state bank of india: indiainfoline,1
"icici bank, axis bank look weak: vora",0
ahead of industry in realise bad assets: sbi,1
govt 'committed' to sbi right issue: chaudhuri,1
sbi may come down to rs 2080-2070: aditya agarwal,1
omcs eye over 50% of retail sales in cashless mode by march,0
hold sbi with a long term view: phani sekhar,1
how to play sbi after q4 result miss estimate,0
rbi call rings: sbi announce rat base on marginal cost,1
"cramer ball, former ceo of jet airways, spearhead etihad's bid",1
state bank of mysore q3 profit dip 72% to rs 27 crore,1
"buy larsen & toubro, sbi, wipro: mitesh thacker",1
sbi: fix book closure for interim dividend,0
bank growth run parallel with economic growth: bankers,1
govt may push rbi to ease provision norms for insolvency account,1
state bank of india can head higher: mehraboon irani,0
sbi hike rat by 75-175 bps in its fcnr and rfc deposit,0
online fraud: why should you not blame bank,1
"prefer sbi, pnb, obc: parag thakkar",1
"hold state bank of india, say mayuresh joshi",1
"buy kesoram industries, niit technologies: ashwani gujral",1
news highlight of the day: govt extend timeline for comment on data privacy till january 31,0
top 10 stock to bet on expiry day,1
grace time to repay crop loan to benefit 5 lakh farmers: sbi,1
may get rs 600-700 cr for entire stake in care: idbi bank,1
central government nominate dr. urjit r. patel on sbi board,0
bhushan steel may not qualify for rbi's s4a; bank mull deep restructure,0
"buy cipla, dr reddy's labs; sell sbi: rahul mohindar",1
"go long in sbi, say sudarshan sukhani",1
sbi launch mobile app on bank service information,1
sbi may slip to rs 2000: mithil pradhan,0
check out: what to buy in plunge market,0
sbi's term loan growth outlook not robust: pratip chaudhuri,1
sell sbi future; target of rs 2030: iifl,1
"buy sbi, target of rs 2054: krchoksey",0
cobrapost expose: bank suspend employees under finmin heat,0
"jet airways: nclt admit sbi's plea, set 90-day timeline for resolution",1
"sbi may fall further, say ambareesh baliga",1
sbi cut deposit rat on certain maturities by 25-50 bps,1
"accumulate sbi, say akash jain",1
"buy hero motocorp, advise rahul shah",0
"sbi may move to rs 350-400, say vijay chopra",1
"sbi a top pick, say gautam trivedi",0
"look at icici bank, sbi: sudarshan sukhani",1
bank-borrowings from rbi repo window hit 9-month low,0
"hold state bank of india, advise sudarshan sukhani",1
"upbeat on tata motors, buy state bank of india: sukhani",1
risk reward not attractive to buy sbi; performance of merge entity key: nirmal bang,1
"state bank of india may post q2 profit at rs 2,508 cr; slippages, loan growth key",1
kotak mahindra bank buy biz loan book of barclays india,0
"negative on psu banks, say dipan mehta",1
state bank of india sept qtr pat see at rs 3031 cr: angel,0
sbi can test rs 2250-2230: sukhani,1
bank stock will outperform: sukhani,0
'sbi grow with india-singapore trade',0
"sell sbi, ntpc; buy kpit technologies: ashwani gujral",1
buy sbi; sell canara bank: sukhani,1
super six: top chart pick for today,1
"buy sbi at current levels, say sanjeev agarwal",0
sbi capital market appoint praveen gupta as md and ceo,0
"buy uco bank, state bank of india: sudarshan sukhani",1
"buy sbi, pnb: manoj murlidharan",1
sbi pump money in pos devices as cash pipeline dries-up,1
sbi expand operations in india's immediate neighbourhood,1
"buy sbi, say sp tulsian",1
stay away from sbi: tulsian,1
i-t department ask 10 psus to pay more advance tax to meet tax collection target,0
bull's eye: stock to buy today,1
kingfisher airlines en route to be tag wilful defaulter,0
sbi meet today to discuss exposure to tata companies: srcs,0
cbi file chargesheet against promoter of click telecom,1
hope to contain gross npa below 5% this quarter: andhra bk,0
"sell infosys; buy bajaj finance, sbi, unite spirits: thakkar",1
"limit downside see in pnb, bob: sp tulsian",0
sbi seek quash of ed proceed attach firm's property,0
buy sbi call option: panda,1
independent directors earn over rs 1 crore a year on the rise: report,0
investment strategies: top 5 stock that you can focus today,1
vijay mallya's extradition to speed up loan recovery process: sbi,0
canara bank q4 nos. good; may revise price target: angel,1
book profit in psu banks: sudarshan sukhani,1
buy state bank of india; target of rs 285: axis direct,0
tata motor tiesup with sbi for channel finance,1
"prefer sbi over pnb, say shahina mukadam",1
sbi to open 50 more branch in gujarat by fiscal-end,0
"buy tata elxsi on dips, say shahina mukadam",1
"buy sbi, say sudarshan sukhani",1
sukhani's view on l&t,0
sbt cut lend rat by 0.65% across tenors for february,0
kfa loan recovery not possible in near-term: ubi to bse,0
bank of maha get nod to raise rs 394 cr by equity share,1
"exit vedanta, switch to sbi, hdfc bank: sudarshan sukhani",0
"sbi, staragri tie-up for farmer funds, collateral mgmt",1
sbi say right issue in 2-3 months,0
pn vijay positive on bank stock,1
super six intraday pick for february 24,0
khurana negative on sbi,1
"buy sbi, maruti suzuki, hcl tech: chandan taparia",0
analysts bet on sbi but cut target; stock fall 3% post q1,0
"sbi post q4 loss of rs 7,718 crore as provision more than double",0
